Filename,Line number,Column number,Producer component:Message number,Message text,Severity,Suppression type bitmask,Suppression justification,Rule Group,Rule Text,Team,Components
asw/asw/perception/parking/common/per_global_cfg.h,34,7,qacpp-5.3.0:2400,The type name 'tensor_ptr_t' is in the global scope.,2,1,reviewed no risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/per_global_cfg.h,35,21,qacpp-5.3.0:2300,The object 'xmat_front_view' is in the global scope.,2,1,reviewed no risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/per_global_cfg.h,36,21,qacpp-5.3.0:2300,The object 'xmat_nrcs' is in the global scope.,2,1,reviewed no risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/per_global_cfg.h,37,26,qacpp-5.3.0:2300,The object 'g_atomic_init_flag' is in the global scope.,2,1,reviewed no risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/per_global_cfg.h,38,22,qacpp-5.3.0:2300,The object 'g_start_time' is in the global scope.,2,1,reviewed no risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/image_process/src/image_process.cpp,172,17,qacpp-5.3.0:3705,This is using pointer arithmetic.,2,1,reviewed no risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/image_process/src/image_process.cpp,286,65,qacpp-5.3.0:3016,This is a cast from a floating point number to an integer type.,2,1,reviewed no risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/image_process/src/image_process.cpp,294,53,qacpp-5.3.0:3016,This is a cast from a floating point number to an integer type.,2,1,reviewed no risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/image_process/src/image_process.cpp,296,38,qacpp-5.3.0:3016,This is a cast from a floating point number to an integer type.,2,1,reviewed no risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/image_process/src/image_process.cpp,341,64,qacpp-5.3.0:3016,This is a cast from a floating point number to an integer type.,2,1,reviewed no risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/image_process/src/image_process.cpp,346,34,qacpp-5.3.0:3016,This is a cast from a floating point number to an integer type.,2,1,reviewed no risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/image_process/src/image_process.cpp,351,53,qacpp-5.3.0:3016,This is a cast from a floating point number to an integer type.,2,1,reviewed no risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/mono3d/src/mono3d_utils.cpp,58,104,qacpp-5.3.0:2009,"This function parameter exceeds the maximum size allowed for the ""being passed by"" value (8 bytes).  Consider declaring it as const reference.",2,1,No risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/mono3d/src/mono3d_utils.cpp,76,16,qacpp-5.3.0:3803,The return value of this function call is not used.,2,1,No risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/mono3d/src/mono3d_utils.cpp,76,53,rcma-3.3.0:1724,"Static function or private method '::PERMONO3D::Calibration::readCalibFileTransHelper(,fs,{e::xcalib::EINTRINSIC_TYPE},{c::std::__1::basic_string<_c,{c::std::__1::char_traits<_c>},{c::std::__1::allocator<_c>}>})::@unnamed1=(_,&=::PERMONO3D::Calibration::readCalibFileTransHelper(,fs,{e::xcalib::EINTRINSIC_TYPE},{c::std::__1::basic_string<_c,{c::std::__1::char_traits<_c>},{c::std::__1::allocator<_c>}>})::@unnamed1()@<@ClassTempParam_2_0_>)' of a class shall be used.",2,1,No risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/mono3d/src/mono3d_utils.cpp,169,16,qacpp-5.3.0:3803,The return value of this function call is not used.,2,1,No risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/mono3d/src/mono3d_utils.cpp,169,55,rcma-3.3.0:1724,"Static function or private method '::PERMONO3D::Calibration::readCalibFileTransHelper(,fs,{e::xcalib::EINTRINSIC_TYPE},{c::std::__1::basic_string<_c,{c::std::__1::char_traits<_c>},{c::std::__1::allocator<_c>}>})::@unnamed5=(_,&=::PERMONO3D::Calibration::readCalibFileTransHelper(,fs,{e::xcalib::EINTRINSIC_TYPE},{c::std::__1::basic_string<_c,{c::std::__1::char_traits<_c>},{c::std::__1::allocator<_c>}>})::@unnamed5()@<@ClassTempParam_2_0_>)' of a class shall be used.",2,1,No risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/mono3d/src/mono3d.cpp,22,31,qacpp-5.3.0:3803,The return value of this function call is not used.,2,1,No risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/mono3d/src/mono3d.cpp,23,31,qacpp-5.3.0:3803,The return value of this function call is not used.,2,1,No risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/mono3d/src/mono3d.cpp,35,34,qacpp-5.3.0:2009,"This function parameter exceeds the maximum size allowed for the ""being passed by"" value (8 bytes).  Consider declaring it as const reference.",2,1,No risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/mono3d/src/mono3d.cpp,889,64,qacpp-5.3.0:3705,This is using pointer arithmetic.,2,1,No risk,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/mono3d/include/smoke3d.h,24,40,qacpp-5.3.0:2009,"This function parameter exceeds the maximum size allowed for the ""being passed by"" value (8 bytes).  Consider declaring it as const reference.",2,0,,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
asw/asw/perception/parking/common/mono3d/include/smoke3d.h,34,10,qacpp-5.3.0:2121,"This function hides the non-virtual function 'void ::PERMONO3D::Mono3D::decode<N,B>(::PERMONO3D::TTensorRtOutput *,::vfc::TFixedVector<::PERMONO3D::Calibration,B,::vfc::TFixedBlockAllocator<::PERMONO3D::Calibration,SizeValue>> const &,::vfc::TFixedVector<::vfc::TFixedVector<::PERMONO3D::_3dobjInfo,100,::vfc::TFixedBlockAllocator<::PERMONO3D::_3dobjInfo,100>>,B,::vfc::TFixedBlockAllocator<::vfc::TFixedVector<::PERMONO3D::_3dobjInfo,100,::vfc::TFixedBlockAllocator<::PERMONO3D::_3dobjInfo,100>>,SizeValue>>&,::vfc::TFixedVector<::vfc::TFixedVector<::PERMONO3D::TKeyPoints,N,::vfc::TFixedBlockAllocator<::PERMONO3D::TKeyPoints,SizeValue>>,B,::vfc::TFixedBlockAllocator<::vfc::TFixedVector<::PERMONO3D::TKeyPoints,N,::vfc::TFixedBlockAllocator<::PERMONO3D::TKeyPoints,SizeValue>>,SizeValue>>&,::vfc::TFixedVector<::PERMONO3D::TKeyPoints,N,::vfc::TFixedBlockAllocator<::PERMONO3D::TKeyPoints,SizeValue>>&,::PERMONO3D::ModelConfig3D const &,::cv::Mat const &,bool)'.",2,0,,rbScopeO,"rb35,rbSupGiven,rbSev2,rbCriticality-5",perception,asw/asw/perception/parking/
